Crime ID,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
96eb8a9c3023b8787d437aa87fbd49eab39d8205ca1880ddae32d5f843c70aac,2014-02,-2.596865,51.45088,On or near Assembly Rooms Lane,E01014540,Bristol 032B,Drugs,Offender given a caution
b00750f96dd9d4f809520d9b92bcbce15ca40dff41faf03df4e7ae511de81eda,2014-02,-2.603256,51.455325,On or near Park Street Avenue,E01014542,Bristol 032C,Drugs,Offender fined
3389fa8b7ab48ac06c7beccdb8b18709c35c82f89d5fdc7579e7b1263882ad5d,2014-02,-2.607309,51.457112,On or near Nightclub,E01014542,Bristol 032C,Drugs,Offender given a drugs possession warning
f09e213cfd285b5e7475c12a89ce9fc3132b55c21bf48d4eafb3928295826ca6,2014-02,-2.594626,51.456844,On or near Rupert Street,E01014542,Bristol 032C,Drugs,Court result unavailable
0ee5c5cad56362efdd6b5d35e2dcd9cfa25d4540e9bc9901a35882d70154975a,2014-02,-2.60249,51.448577,On or near Harbour Way,E01033345,Bristol 032F,Drugs,Offender given a drugs possession warning
cfb24d3b4c8c8fae60a9a2d1b83f5e2334c64d52536cd32415e39b6a37815bb7,2014-02,-2.598225,51.452501,On or near Anchor Road,E01033345,Bristol 032F,Drugs,Offender given a caution
b9effa3d19893ba84bb7acf08b39ab21eb3ba3243b449263f9d1a69cba6bbc1e,2014-02,-2.598225,51.452501,On or near Anchor Road,E01033345,Bristol 032F,Drugs,Offender given a drugs possession warning
43f78c7a78b6df1bd6ce23eb9d46abc25d40dc867711de3cb7bd46c01fbe687f,2014-02,-2.598225,51.452501,On or near Anchor Road,E01033345,Bristol 032F,Drugs,Offender given a caution
a639a1eca719e2e86a2e42089dc6a62c43766bf39e35e7a126ededbcc70356d8,2014-02,-2.612023,51.446909,On or near Gefle Close,E01033350,Bristol 032G,Drugs,Court result unavailable
14cc9da37ad663ccbbfa8ba0c4f509de7f93e70739da02cce85baa24ab180d5b,2014-02,-2.616385,51.450276,On or near Crosby Row,E01014550,Bristol 034C,Drugs,Offender given a drugs possession warning
